rank,word,total
1204,generally,35453
1205,african,37673
1206,very,34036
1207,sorry,37407
1208,crisis,36835
1209,complete,35373
1210,fan,36891
1211,stick,35036
1212,define,36505
1213,easily,34255
1214,through,34971
1215,hole,34949
1216,element,35554
1217,status,36816
1218,vision,35105
1219,normal,33691
1220,chinese,35222
1221,ship,36015
1222,stone,39479
1223,solution,34829
1224,slowly,35725
1225,scale,37307
1226,bit,35179
1227,university,124784
1228,introduce,33775
1229,driver,34074
1230,attempt,34363
1231,park,75762
1232,spot,34588
1233,lack,35000
1234,ice,34674
1235,boat,35016
1236,drink,34617
1237,sun,49383
1238,front,34471
1239,distance,33922
1240,wood,41318
1241,truck,33668
1242,handle,33146
1243,return,33623
1244,mountain,50025
1245,survey,36187
1246,supposed,33689
1247,tradition,34562
1248,winter,35569
1249,village,36756
1250,soviet,37380
1251,refuse,32410
1252,sales,37098
1253,roll,34548
1254,communication,34549
1255,run,35153
1256,screen,33148
1257,gain,33114
1258,resident,35492
1259,hide,33779
1260,gold,33706
1261,club,49354
1262,farm,32657
1263,future,34224
1264,potential,34024
1265,increase,33639
1266,middle,32971
1267,european,33818
1268,presence,33025
1269,independent,33447
1270,district,50166
1271,shape,32657
1272,reader,34828
1273,contract,33302
1274,crowd,33286
1275,christian,34036
1276,express,33716
1277,apartment,33081
1278,willing,32164
1279,strength,32043
1280,previous,33696
1281,band,32654
1282,obviously,34007
1283,horse,33376
1284,interested,31327
1285,target,32386
1286,prison,33091
1287,ride,32631
1288,guard,32605
1289,terms,33516
1290,reporter,35804
1291,demand,32665
1292,deliver,31985
1293,text,33674
1294,share,32229
1295,tool,33655
1296,wild,31900
1297,vehicle,32017
1298,observe,32885
1299,flight,32279
1300,inside,33389
1301,facility,32206
1302,understanding,34128
1303,average,31800
1304,emerge,31725
1305,advantage,31696
1306,light,32363
1307,quick,31817
1308,leadership,33290
1309,earn,31931
1310,pound,32635
1311,basis,32410
1312,bright,32290
1313,operate,31407
1314,guest,32313
1315,sample,35654
1316,contribute,32650
1317,tiny,32118
1318,block,32262
1319,protection,31766
1320,settle,31104
1321,feed,31124
1322,collect,31620
1323,additional,32280
1324,highly,31891
1325,while,32177
1326,identity,33670
1327,title,31719
1328,mostly,30731
1329,lesson,31373
1330,faith,31840
1331,river,56742
1332,promote,32267
1333,living,30918
1334,present,32520
1335,count,31094
1336,unless,30050
1337,marry,31149
1338,tomorrow,32726
1339,technique,32005
1340,path,30980
1341,ear,31940
1342,shop,31052
1343,folk,31177
1344,order,30297
1345,principle,32204
1346,survive,29964
1347,lift,31608
1348,border,31025
1349,competition,30737
1350,jump,30778
1351,gather,29965
1352,limit,31286
1353,fit,30259
1354,claim,31046
1355,cry,31910
1356,equipment,29894
1357,worth,30039
1358,associate,33081
1359,critic,30377
1360,warm,31259
1361,aspect,31520
1362,result,31850
1363,insist,29171
1364,failure,30725
1365,annual,31008
1366,french,29829
1367,comment,30339
1368,affair,29709
1369,responsible,29575
1370,approach,29648
1371,mean,31073
1372,until,29327
1373,procedure,31156
1374,regular,29438
1375,spread,29731
1376,chairman,31698
1377,baseball,30329
1378,soft,30054
1379,ignore,29257
1380,egg,30682
1381,measure,30969
1382,belief,31185
1383,demonstrate,31429
1384,anybody,30952
1385,murder,30822
1386,gift,30081
1387,religion,30711
1388,review,32190
1389,editor,44587
1390,past,30572
1391,engage,31120
1392,coffee,30774
1393,document,27432
1394,speed,30359
1395,cross,29786
1396,influence,30628
1397,anyway,30557
1398,commit,29114
1399,threaten,28578
1400,female,30364
1401,youth,31288
1402,wave,29256
1403,move,29235
1404,afraid,29810
1405,quarter,29343
1406,background,28959
1407,native,30106
1408,broad,29419
1409,wonderful,29268
1410,deny,28575
1411,apparently,28680
1412,slightly,29156
1413,reaction,28995
1414,twice,28451
1415,suit,29000
1416,perspective,31206
1417,growing,28850
1418,blow,29529
1419,construction,29406
1420,kind,32936
1421,intelligence,29821
1422,destroy,28210
1423,cook,31193
1424,charge,28618
1425,connection,29027
1426,burn,28735
1427,shoe,29485
1428,neighbor,28917
1429,view,29312
1430,grade,29416
1431,context,31582
1432,committee,45613
1433,hey,30050
1434,mistake,28336
1435,focus,29453
1436,smile,31066
1437,location,28981
1438,clothes,29076
1439,quiet,28964
1440,indian,29022
1441,dress,29408
1442,promise,27943
1443,aware,27449
1444,complete,27790
1445,drive,28819
1446,function,30046
1447,bone,28501
1448,active,28639
1449,extend,28324
1450,chief,29240
1451,average,31013
1452,combine,29072
1453,wine,30088
1454,below,26153
1455,cool,29284
1456,voter,30323
1457,bus,27677
1458,demand,27162
1459,learning,32124
1460,hell,29840
1461,dangerous,27358
1462,remind,27902
1463,moral,28851
1464,united,27965
1465,category,29332
1466,relatively,28295
1467,victory,28602
1468,key,29098
1469,academic,30838
1470,visit,27372
1471,internet,35448
1472,healthy,28678
1473,fire,27540
1474,negative,28866
1475,following,28582
